title,slug
Prodotti Confezionati,prodotti
Carni,carni
Zuppe e vellutate,zuppe
Piatti pronti,piatti
Piatti a base vegetale,piatti
Freddo,freddo
Gelati,gelati
"Surgelati (di verdure, pesce, o piatti pronti, o pane pizza e brioche)",surgelati
Ortofrutta,ortofrutta
Frutta fresca,frutta
Frutta secca,frutta
Verdura fresca,verdura
Bovino,bovino
Formaggi confezionati,formaggi
Suino,suino
Pollame e Coniglio,pollame
Carni Halal,carni
Pronti da cuocere a base di carne,pronti
Ovini,ovini
Ittico,ittico
"Pesci interi, filetti e tranci, molluschi e crostacei",pesci
"Sushi, tartare, poke, insalate di mare",sushi
Pronti da cuocere a base di pesce,pronti
Pet Food,pet
Pesto e sughi freschi,pesto
Salumi confezionati,salumi
"Pane confezionato, panini",pane
Riso,riso
"Grissini, crostini, taralli, crackers, gallette",grissini
"Pasticceria (Torte pronte, muffin, crostate, ecc.)",pasticceria
"Dolci da ricorrenza italiani (panettoni, pandori, colombe, ecc.)",dolci
Biscotti,biscotti
Merendine,merendine
Caffè,caffè
Tè e infusi,tè
"Cioccolato, cioccolatini, praline",cioccolato
Patatine e snack salati,patatine
Pasta,pasta
Pesce e carne in scatola,pesce
Yogurt e dessert,yogurt
Legumi e cereali,legumi
Cibi etnici,cibi
Bevande,bevande
Birra,birra
Bibite e bevande,bibite
Vini,vini
Liquori,liquori
Aperitivi,aperitivi
Fresco,fresco
"Uova, latte, burro",uova
Pet Food 2,pet
